brand,model,year,transmission,mileage,fuelType,engineSize,price
8,129,2017,1,48713,0,2.0,13998
8,129,2017,1,50039,0,2.0,14698
8,129,2019,0,10910,2,2.5,28998
8,129,2018,0,21893,4,2.0,19698
8,129,2015,3,21232,4,2.0,15298
8,129,2019,0,2764,2,2.5,37440
8,129,2016,0,18880,2,2.5,20990
8,129,2017,0,10028,4,2.0,19998
8,129,2017,0,29515,2,2.5,20990
8,129,2016,0,25614,2,2.5,23990
8,129,2016,0,20101,2,2.5,23990
8,129,2016,1,30124,0,2.0,13495
8,129,2017,1,59205,0,2.0,15995
8,129,2016,0,58100,2,2.5,17495
8,129,2014,0,41389,0,2.2,12998
8,129,2016,1,36030,0,2.0,13998
8,129,2017,1,32087,0,2.0,14998
8,129,2016,0,19618,2,2.5,19498
8,129,2019,0,5000,2,2.5,34990
8,129,2015,1,81503,0,2.0,9998
8,129,2017,1,34633,0,2.0,16295
8,129,2016,0,58100,2,2.5,17495
8,129,2017,1,34633,0,2.0,16295
8,129,2015,1,28308,0,2.0,13495
8,129,2016,1,27232,0,2.0,15200
8,129,2017,0,14766,2,2.5,24070
8,129,2016,0,35445,2,2.5,19970
8,129,2019,0,7823,2,2.5,29570
8,129,2017,1,41201,0,2.0,14498
8,129,2016,0,49254,2,2.5,17995
8,129,2019,0,15581,2,2.5,27570
8,129,2019,0,5660,2,2.5,34990
8,129,2015,0,59454,0,2.2,14490
8,129,2017,1,37893,0,2.0,14495
8,129,2017,0,23605,2,2.5,23070
8,129,2019,0,9709,2,2.5,29995
8,129,2014,1,77512,0,2.0,9798
8,129,2016,1,23485,0,2.0,14498
8,129,2016,1,28083,0,2.0,14998
8,129,2014,3,51258,4,2.0,11998
8,129,2014,1,59627,0,2.0,10995
8,129,2019,0,19814,2,2.5,27293
8,129,2017,0,31057,2,2.5,19988
8,129,2014,1,78650,0,2.2,9998
8,129,2017,0,37258,2,2.5,21971
8,129,2016,0,27176,2,2.5,19452
8,129,2017,0,25000,2,2.5,20667
8,129,2013,0,45000,0,2.2,10990
8,129,2017,0,40101,2,2.5,18495
8,129,2016,1,38338,0,2.0,13995
8,129,2019,0,11970,2,2.5,31995
8,129,2019,0,11728,2,2.5,31995
8,129,2017,0,29802,2,2.5,19990
8,129,2016,1,31887,0,2.0,14295
8,129,2017,0,20216,2,2.5,22795
8,129,2016,0,46035,2,2.5,18500
8,129,2015,1,44652,0,2.0,11495
8,129,2014,1,57942,0,2.0,10999
8,129,2017,0,13285,2,2.5,21998
8,129,2016,0,60602,2,2.5,17250
8,129,2016,0,46035,2,2.5,18695
8,129,2017,1,32815,0,2.0,13998
8,129,2014,1,88870,0,2.0,9780
8,129,2016,0,30117,2,2.5,18998
8,129,2015,1,63000,0,2.2,10995
8,129,2017,0,28486,2,2.5,22995
8,129,2016,0,30000,2,2.5,19490
8,129,2015,0,45848,0,2.2,12480
8,129,2017,0,27999,2,2.5,21000
8,129,2016,0,31059,2,2.5,21000
8,129,2014,1,57942,0,2.0,10999
8,129,2017,0,19511,2,2.5,22000
8,129,2016,1,49814,0,2.0,12498
8,129,2018,0,18861,2,2.5,25500
8,129,2017,0,41351,2,2.5,19998
8,129,2013,1,59934,0,2.2,9990
8,129,2017,1,22565,0,2.0,16675
8,129,2019,0,10853,2,2.5,29000
8,129,2016,1,56437,0,2.0,13000
8,129,2016,0,15364,2,2.5,23000
8,129,2013,1,62541,0,2.2,9945
8,129,2019,0,7576,2,2.5,33880
8,129,2017,0,39833,2,2.5,21480
8,129,2015,1,45757,0,2.0,13500
8,129,2015,1,45757,0,2.0,13500
8,129,2019,0,16360,2,2.5,27790
8,129,2016,0,37852,2,2.5,17795
8,129,2016,0,4671,2,2.5,21298
8,129,2016,0,49962,2,2.5,19287
8,129,2013,1,70964,0,2.2,9250
8,129,2014,1,52561,0,2.0,11000
8,129,2015,1,10763,0,2.0,13200
8,129,2019,0,6691,2,2.5,29980
8,129,2016,0,24757,2,2.5,19995
8,129,2016,0,43546,2,2.5,18995
8,129,2017,0,10985,4,2.0,19480
8,129,2016,0,31522,2,2.5,18498
8,129,2017,0,30305,4,2.0,18490
8,129,2016,0,32311,2,2.5,19490
8,129,2017,0,25889,2,2.5,22995
8,129,2017,0,39000,2,2.5,18995
8,129,2017,0,30724,4,2.0,18490
8,129,2014,1,67712,0,2.0,10490
8,129,2016,0,24560,4,2.0,16980
8,129,2014,1,49429,0,2.0,10995
8,129,2016,0,13586,2,2.5,21495
8,129,2019,0,8000,2,2.5,33595
8,129,2016,1,27762,0,2.0,14995
8,129,2016,0,16000,2,2.5,21995
8,129,2016,1,22262,0,2.0,14295
8,129,2017,0,28546,4,2.0,17390
8,129,2016,1,19570,0,2.0,16980
8,129,2017,1,57423,0,2.0,12998
8,129,2017,0,27498,2,2.5,20290
8,129,2017,0,48265,2,2.5,20690
8,129,2016,1,38655,0,2.0,13290
8,129,2017,0,16000,4,2.0,19000
8,129,2017,0,20829,2,2.5,20498
8,129,2016,0,11544,2,2.5,19490
8,129,2016,0,39039,2,2.5,21990
8,129,2020,0,1652,2,2.5,31790
8,129,2016,1,20553,0,2.0,15990
8,129,2016,0,32132,2,2.5,20790
8,129,2017,0,30489,2,2.5,19995
8,129,2015,0,50417,0,2.2,13690
8,129,2017,0,14562,2,2.5,21990
8,129,2016,0,40049,2,2.5,18490
8,129,2013,1,29445,0,2.2,11995
8,129,2018,0,13833,4,2.0,22995
8,129,2016,0,31492,2,2.5,18995
8,129,2016,0,37971,2,2.5,18710
8,129,2017,0,37386,2,2.5,18798
8,129,2017,0,25601,2,2.5,20995
8,129,2016,0,60841,4,2.0,13610
8,129,2017,0,17681,4,2.0,20990
8,129,2017,0,39343,2,2.5,19995
8,129,2016,0,16551,2,2.5,23995
8,129,2017,0,29655,2,2.5,19995
8,129,2017,0,21263,2,2.5,21498
8,129,2017,0,22329,2,2.5,21995
8,129,2016,1,25801,0,2.0,14995
8,129,2015,0,48125,0,2.2,11795
8,129,2016,0,46531,2,2.5,18995
8,129,2017,0,25303,2,2.5,20000
8,129,2017,0,22726,2,2.5,21795
8,129,2017,1,39624,0,2.0,15295
8,129,2017,0,8992,2,2.5,21095
8,129,2017,0,31685,2,2.5,19995
8,129,2017,0,27751,2,2.5,21500
8,129,2018,0,23165,4,2.0,19990
8,129,2015,1,60148,0,2.0,9547
8,129,2018,0,10864,2,2.5,25980
8,129,2020,0,1500,2,2.5,33995
8,129,2017,1,22864,0,2.0,15995
8,129,2016,1,32070,0,2.0,14499
8,129,2017,1,61000,0,2.0,14450
8,129,2016,0,8080,2,2.5,20349
8,129,2016,1,14152,0,2.0,13900
8,129,2016,0,30635,2,2.5,18590
8,129,2016,1,37849,0,2.0,13790
8,129,2016,1,30100,0,2.0,14288
8,129,2015,1,18200,0,2.0,13499
8,129,2017,1,17000,0,2.0,16711
8,129,2015,0,36426,4,2.0,13330
8,129,2016,1,31457,0,2.0,13999
8,129,2014,1,30726,0,2.0,12495
8,129,2016,0,24770,2,2.5,18999
8,129,2017,1,11556,0,2.0,18562
8,129,2017,1,26191,0,2.0,15293
8,129,2019,0,7191,2,2.5,33626
8,129,2015,1,56203,0,2.0,12711
8,129,2013,1,57299,0,2.2,10311
8,129,2016,0,18078,2,2.5,20298
8,129,2017,0,65452,2,2.5,17235
8,129,2017,0,17807,2,2.5,21508
8,129,2017,0,15507,2,2.5,21766
8,129,2015,1,46000,0,2.0,12232
8,129,2018,0,13000,2,2.5,25991
8,129,2017,0,19849,2,2.5,21322
8,129,2016,0,24281,2,2.5,21192
8,129,2019,0,4271,2,2.5,32860
8,129,2016,0,35046,2,2.5,20791
8,129,2019,0,7735,2,2.5,33892
8,129,2017,0,7408,2,2.5,22362
8,129,2016,0,13322,2,2.5,20000
8,129,2016,0,13281,2,2.5,23691
8,129,2017,1,47026,0,2.0,15200
8,129,2017,0,35509,4,2.0,17995
8,129,2016,0,25252,2,2.5,19991
8,129,2017,0,19986,2,2.5,21323
8,129,2017,0,25714,4,2.0,20182
8,129,2013,1,54115,0,2.2,10191
8,129,2017,1,37100,0,2.0,14897
8,129,2016,0,45950,2,2.5,19599
8,129,2015,0,33481,0,2.2,14999
8,129,2017,0,34000,2,2.5,19250
8,129,2014,1,34050,0,2.0,11990
8,129,2015,1,64609,0,2.0,11999
8,129,2017,1,27170,0,2.0,15999
8,129,2017,1,33432,0,2.0,14500
8,129,2016,0,55185,2,2.5,19999
8,129,2019,0,8357,2,2.5,29550
8,129,2017,1,40376,0,2.0,14695
8,129,2017,0,21676,4,2.0,18995
